kind,#,name,N_SentenceSize,N_SentenceSize (score),N_XMLSize,N_XMLSize (score),R_Stability,R_Stability (score),N_InEdgeCount,N_InEdgeCount (score),N_OutEdgeCount,N_OutEdgeCount (score),R_XMLSimilarity,R_XMLSimilarity (score),R_XMLUniqueness,R_XMLUniqueness (score),N_PointlessAbstraction,N_PointlessAbstraction (score),R_TextSimilarity,R_TextSimilarity (score),N_TextSize,N_TextSize (score),N_SubSectionWidth,N_SubSectionWidth (score),N_SubSectionDepth,N_SubSectionDepth (score),N_BrokenRefs,N_BrokenRefs (score),N_BackRefs,N_BackRefs (score),N_TextSimilar,N_TextSimilar (score),R_TextUniqueness,R_TextUniqueness (score)
file,333,dc_ne_product_003044.xml,22.0,0.4724308528363795,193.0,0.09733902192409184,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,0.5675742330077932,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,334,dc_vrp_ssh_feature_00021.xml,4.0,0.1359360180461921,84.0,0.07472440750696688,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.05270296932031173,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,335,dc_vrp_vrrp_feature_0110.xml,62.0,0.7415344390043834,431.0,0.11097684283212902,1.0,0.0,5.0,0.9118159905636186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.7451043259507719,1249.0,0.7390993390549472,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,4.0,0.908597508326138,1.0,0.617098179953858,0.18181818181818188,0.6653184037882899
file,336,dc_vrp_te-p2p_feature_0045.xml,56.0,0.7279997949296352,253.0,0.10288786406569829,1.0,0.0,3.0,0.8274014052002667,0.0,0.0,1.0,0.995264637695457,1.0,1.0,0.0,0.0,1.0,1.0,1172.0,0.733575022195916,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,2.0,0.8835080794375231,1.0,0.617098179953858,1.0,1.0
file,337,dc_vrp_mplsm_feature_0000.xml,1.0,0.05144702776140063,24.0,0.0407654936003354,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.03654927493341225,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,338,dc_vrp_te-p2p_feature_0014.xml,8.0,0.19732895849888493,45.0,0.05368813041012109,1.0,0.0,3.0,0.8274014052002667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,154.0,0.23951859524514155,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,2.0,0.8835080794375231,1.0,0.617098179953858,1.0,1.0
file,339,dc_ne_hw_000504.xml,3.0,0.11378841865114968,430.0,0.11097684283212902,0.02857142857142857,0.0,1.0,0.4386635212062157,34.0,0.8921995999794862,0.0,0.0,0.0,0.0,0.0,0.0,0.711864406779661,0.9337542544270705,91.0,0.14666568018151327,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,1.0,0.617098179953858,0.711864406779661,0.883860306812016
file,340,dc_vrp_ssh_feature_00010.xml,11.0,0.24892978903386223,47.0,0.05368813041012109,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,167.0,0.25643681562592485,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,341,dc_ne_hw_000049.xml,6.0,0.17307938786496116,22.0,0.0407654936003354,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.1781592187037585,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,342,dc_ne_hw_000484.xml,15.0,0.32595934480018457,222.0,0.100347727440874,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.35444411561606,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,343,dc_vrp_ifm_feature_0002.xml,2.0,0.0932044807874702,72.0,0.07006338010801746,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.05270296932031173,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,344,dc_ne_hw_000053.xml,1.0,0.05144702776140063,7.0,0.012010160546499298,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.04402189997040545,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,345,dc_ne_product_003041.xml,1.0,0.05144702776140063,3.0,0.012010160546499298,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.03654927493341225,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,346,dc_vrp_te-p2p_feature_0055.xml,84.0,0.7732434441567763,427.0,0.11058225850205923,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,1.0,0.995264637695457,1.0,1.0,0.0,0.0,1.0,1.0,1526.0,0.772787807043504,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,347,dc_vrp_multicast_feature_0058.xml,12.0,0.26843710748250493,82.0,0.07472440750696688,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538461538461539,0.9261086173728604,212.0,0.3382657591003255,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,0.6538461538461539,0.8718985843239777
file,348,dc_vrp_ospf_feature_0035.xml,30.0,0.5926020865909615,104.0,0.08162963328318824,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,1.0,0.995264637695457,1.0,1.0,0.0,0.0,1.0,1.0,593.0,0.6346305613100522,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,349,dc_ne_cbb_cluster_0002.xml,8.0,0.19732895849888493,112.0,0.08473698488248785,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.23951859524514155,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
