FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.MethodSubclassOfTestWithClassRule,MethodSubclassOfTestWithClassRule,0.18572603866721513,1,1,1,1,0,0,0.0,33,4,1.0,0,0,0,0,0,0.0,0
org.junit.internal.runners.statements.Throwables.java.FailOnTimeout.java.FailOnTimeout,FailOnTimeout,0.0683189359659948,2,2,2,0,1,56,1.0,13,269,0.33333333333333337,3,11,0,8,9,0.0,19
org.junit.runners.model.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.RunnerBuilderStub.java.RunnerBuilderStub,RunnerBuilderStub,0.18572603866721513,0,1,0,0,0,1,0.0,17,6,1.0,0,1,0,1,1,0.0,1
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ExpectedTest.java.ExpectedTest.ExpectAssumptionViolatedException,ExpectAssumptionViolatedException,0.18572603866721513,0,1,0,0,0,1,0.0,33,6,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.MethodExampleTestWithClassRule,MethodExampleTestWithClassRule,0.11740710270122036,1,1,1,0,1,0,0.5,30,18,1.0,0,4,1,3,3,1.0,3
org.junit.runners.model.Throwables.java.MethodSorters.java.MultipleFailureException.java.MultipleFailureException,MultipleFailureException,0.0,0,1,0,0,1,0,1.0,24,92,0.7142857142857143,0,8,0,6,6,0.6666666666666666,12
org.junit.runners.model.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.FrameworkMethodTest.java.FrameworkMethodTest.ClassWithDummyMethod,ClassWithDummyMethod,0.18572603866721513,0,1,0,0,0,4,0.0,20,9,1.0,0,2,0,2,2,0.0,2
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ExpectedTest.java.ExpectedTest.ExpectSuperclass,ExpectSuperclass,0.18572603866721513,0,1,0,0,0,1,0.0,16,6,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.UsesFieldAndMethodRule,UsesFieldAndMethodRule,0.18572603866721513,2,4,1,0,0,4,0.0,22,15,1.0,2,3,0,2,2,0.0,2
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ExpectedTest.java.ExpectedTest.NoneThrown,NoneThrown,0.18572603866721513,0,1,0,0,0,1,0.0,10,5,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.OrderTestRule,OrderTestRule,0.18572603866721513,0,1,0,0,0,1,0.0,13,17,1.0,0,2,0,1,1,0.0,1
org.junit.tests.experimental.theories.runner.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.TheoriesPerformanceTest.java.TheoriesPerformanceTest.UpToTen,UpToTen,0.18572603866721513,0,1,0,0,0,1,0.0,7,10,1.0,0,2,0,1,1,0.0,1
org.junit.tests.experimental.theories.runner.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.TheoriesPerformanceTest.java.TheoriesPerformanceTest,TheoriesPerformanceTest,0.11740710270122036,1,1,1,0,1,0,1.0,23,25,1.0,0,2,0,1,1,0.0,1
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ExpectedTest.java.ExpectedTest.Unexpected,Unexpected,0.18572603866721513,0,1,0,0,0,1,0.0,10,6,1.0,0,1,0,1,1,0.0,1
org.junit.internal.runners.statements.Throwables.java.ExpectException.java.ExpectException,ExpectException,0.11740710270122036,0,1,0,0,1,0,1.0,15,33,1.0,0,2,0,1,1,0.0,4
org.junit.runners.model.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.FrameworkMethodTest.java.FrameworkMethodTest,FrameworkMethodTest,0.18572603866721513,1,1,1,0,0,16,0.0,19,44,1.0,0,4,0,4,4,0.0,4
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ExpectedTest.java.ExpectedTest.Expected,Expected,0.18572603866721513,0,1,0,0,0,1,0.0,8,6,1.0,0,1,0,1,1,0.0,1
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ExpectedTest.java.ExpectedTest,ExpectedTest,0.18572603866721513,5,1,5,0,0,25,0.0,12,71,1.0,0,5,0,5,5,0.0,5
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.ExampleTestWithCustomClassRule,ExampleTestWithCustomClassRule,0.11740710270122036,1,1,1,0,1,0,0.0,30,14,1.0,0,3,0,2,2,1.0,2
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.CustomCounter,CustomCounter,0.18572603866721513,0,1,0,0,0,1,0.0,13,13,1.0,0,2,0,1,1,0.0,1
org.junit.internal.runners.rules.Throwables.java.RuleMemberValidator.java.RuleMemberValidator.FieldMustBeATestRule,FieldMustBeATestRule,0.1366378719319896,2,1,2,1,0,1,0.0,20,13,0.5,0,1,0,1,1,0.0,2
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.SubclassOfTestWithClassRule,SubclassOfTestWithClassRule,0.18572603866721513,1,1,1,1,0,0,0.0,27,4,1.0,0,0,0,0,0,0.0,0
org.junit.runners.model.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.FrameworkFieldTest.java.FrameworkFieldTest.ClassWithDummyField,ClassWithDummyField,0.18572603866721513,0,1,0,0,0,0,0.0,19,7,1.0,0,2,0,0,0,0.0,0
